pitcher,player_name,game_year,pitch_type,n,release_speed,arm_angle,extension_ratio
656876,"Rasmussen, Drew",2022,FF,798,95.45426065162911,30.309857656585898,1.0713976722628573
656876,"Rasmussen, Drew",2022,SI,88,94.85340909090911,28.28943798847935,1.0800747198007477
656876,"Rasmussen, Drew",2022,FC,727,90.2733149931224,37.07207902809809,1.0647849107799072
656876,"Rasmussen, Drew",2022,FF,798,95.45426065162911,30.309857656585898,1.0713976722628573
656876,"Rasmussen, Drew",2022,SI,88,94.85340909090911,28.28943798847935,1.0800747198007477
656876,"Rasmussen, Drew",2022,FC,727,90.2733149931224,37.07207902809809,1.0647849107799072
656876,"Rasmussen, Drew",2020,FF,206,97.63834951456306,32.16145632799082,1.070647692512301
656876,"Rasmussen, Drew",2023,FF,199,95.73668341708542,26.909432945062083,1.085344530873544
656876,"Rasmussen, Drew",2023,SI,82,95.12804878048782,34.33079570526432,1.0899432008018712
656876,"Rasmussen, Drew",2022,FF,798,95.45426065162911,30.309857656585898,1.0713976722628573
656876,"Rasmussen, Drew",2022,SI,88,94.85340909090911,28.28943798847935,1.0800747198007477
656876,"Rasmussen, Drew",2022,FC,727,90.2733149931224,37.07207902809809,1.0647849107799072
656876,"Rasmussen, Drew",2024,FF,173,97.42658959537575,30.71628190535292,1.0890173410404613
656876,"Rasmussen, Drew",2024,SI,134,96.20373134328358,37.52037685202669,1.088857084440809
656876,"Rasmussen, Drew",2021,FF,778,97.07802056555262,30.044296562492082,1.0763531358946443
656876,"Rasmussen, Drew",2023,FF,199,95.73668341708542,26.909432945062083,1.085344530873544
656876,"Rasmussen, Drew",2023,SI,82,95.12804878048782,34.33079570526432,1.0899432008018712
656887,"Reid-Foley, Sean",2023,FF,109,96.05779816513764,39.21769509692578,1.131009174311927
656887,"Reid-Foley, Sean",2021,FF,233,93.69957081545073,41.157155075543045,1.1423862660944197
656887,"Reid-Foley, Sean",2022,FF,89,95.82471910112359,41.78065726511687,1.1097528089887643
656887,"Reid-Foley, Sean",2024,FF,254,94.96181102362203,40.04843215838873,1.1006614173228357
656913,"Romero, Seth",2020,FF,28,91.69285714285714,47.87356778897356,1.0068571428571427
656924,"Ryan, Ryder",2024,FF,48,94.04166666666667,56.70317648321353,1.0229729729729733
656924,"Ryan, Ryder",2024,SI,142,94.12112676056336,59.96965170571694,1.0443471640654742
